business_id;name;categories;city;stars;text
b1453;Family Chiropractic;Health & Medical, Chiropractors, Optometrists;Nashville;3.0;famili chiropract health medic chiropractor optometrist
b1127;El Cocina;Mexican, Restaurants, Tacos;Tucson;4.0;el cocina mexican restaur taco
b1204;Golden Sushi;Asian Fusion, Japanese;Madison;4.5;golden sushi asian fusion japanes
b1603;Market Provisions;Farmers Market, Organic Stores;Austin;3.5;market provis farmer market organ store
b1304;Blue Lounge;Lounges, Cocktail Bars, Beer, Sports Bars;Tampa;5.0;blue loung loung cocktail bar beer sport bar
b1250;Big Burger Joint;American (Traditional), Sandwiches, Fries;Madison;4.5;big burger joint american tradit sandwich fri
b1681;Cozy Animal Hospital;Pet Stores, Pets, Dog Walkers;Portland;3.5;cozi anim hospit pet store pet dog walker
b1412;Quick Motors;Oil Change Stations, Car Wash, Auto Parts;Reno;4.5;quick motor oil chang station car wash auto part
b1736;Park Resort;Hotels, Hotels & Travel, Bed & Breakfast, Resorts;Boulder;3.0;park resort hotel hotel travel bed breakfast resort
b1133;El Tacos;Restaurants, Mexican, Burritos;Boulder;4.0;el taco restaur mexican burrito
b1663;Happy Veterinary Clinic;Animal Shelters, Pet Stores;Portland;5.0;happi veterinari clinic anim shelter pet store
b1653;Premier Electric;Electricians, Heating & Air Conditioning/HVAC;Reno;5.0;premier electr electrician heat air
b1150;Casa Taqueria;Latin American, Tex-Mex;Boulder;3.5;casa taqueria latin american
b1569;Nature Mart;Grocery, Specialty Food, Convenience Stores;Tampa;4.0;natur mart groceri specialti food conveni store
b1056;Little Pasta House;Calzones, Wine Bars, Pasta, Italian;Tampa;4.0;littl pasta hous calzon wine bar pasta italian
b1536;Iron Gym;Active Life, Pilates;Tucson;5.0;iron gym activ life pilat
b1656;Premier Heating & Cooling;Plumbing, Heating & Air Conditioning/HVAC;Nashville;3.5;premier heat cool plumb heat air
b1369;Serene Barbershop;Hair Salons, Skin Care;Tampa;4.0;seren barbershop hair salon skin care
b1540;Iron Gym;Fitness & Instruction, Yoga;Madison;5.0;iron gym fit instruct yoga
b1548;Summit Wellness;Pilates, Fitness & Instruction, Active Life;Phoenix;4.0;summit well pilat fit instruct activ life
b1725;Park Hotel;Resorts, Bed & Breakfast;Tampa;4.5;park hotel resort bed breakfast
b1473;Community Family Clinic;Chiropractors, Dentists, Optometrists;Boulder;5.0;commun famili clinic chiropractor dentist optometrist
b1110;Original Pasta House;Restaurants, Pasta, Calzones;Portland;4.0;origin pasta hous restaur pasta calzon
b1639;Apex HVAC;Plumbing, Electricians, Contractors, Roofing;Reno;5.0;apex hvac plumb electrician contractor roof
b1188;Red Noodle House;Noodles, Restaurants;Reno;5.0;red noodl hous noodl restaur
b1212;Golden Dragon;Sushi Bars, Noodles, Thai, Ramen;Columbus;3.5;golden dragon sushi bar noodl thai ramen
b1632;Apex Plumbing;Plumbing, Roofing, Electricians, Heating & Air Conditioning/HVAC;Tucson;4.0;apex plumb plumb roof electrician heat air
b1360;Serene Spa;Waxing, Skin Care;Phoenix;4.5;seren spa wax skin care
b1634;Reliable Electric;Contractors, Electricians, Home Services;Phoenix;3.0;reliabl electr contractor electrician home servic
b1393;Pro Car Wash;Oil Change Stations, Body Shops, Auto Parts, Auto Repair;Reno;3.5;pro car wash oil chang station bodi shop auto part auto repair
b1240;Hungry Eatery;Fries, Fast Food, Hot Dogs;Portland;4.0;hungri eateri fri fast food hot dog
b1148;Casa Cocina;Burritos, Tex-Mex, Mexican, Latin American;Austin;4.5;casa cocina burrito mexican latin american
b1594;Fresh Provisions;Convenience Stores, Shopping, Grocery;Madison;4.0;fresh provis conveni store shop groceri
b1248;Route Burger Joint;Burgers, Fries;Nashville;5.0;rout burger joint burger fri
b1474;Bright Family Clinic;Optometrists, Chiropractors, Physical Therapy, Health & Medical;Tucson;5.0;bright famili clinic optometrist chiropractor physic therapi health medic
b1564;Fresh Provisions;Specialty Food, Farmers Market, Convenience Stores, Grocery;Portland;4.5;fresh provis specialti food farmer market conveni store groceri
b1151;Fiesta Tacos;Restaurants, Tex-Mex, Tacos, Mexican;Boulder;4.5;fiesta taco restaur taco mexican
b1757;Royal Hotel;Bed & Breakfast, Resorts, Hotels, Hotels & Travel;Tucson;4.5;royal hotel bed breakfast resort hotel hotel travel
b1419;Quick Garage;Automotive, Auto Parts;Columbus;4.5;quick garag automot auto part
b1696;Loyal Animal Hospital;Pet Groomers, Pets, Veterinarians;Reno;4.5;loyal anim hospit pet groomer pet veterinarian
b1416;Express Tire Center;Tires, Body Shops, Auto Parts;Tucson;3.0;express tire center tire bodi shop auto part
