model,mean_cosine,mean_semantic
word2vec_lemmatized_cbow_win2_dim100,0.9991,3.6
word2vec_lemmatized_skipgram_win2_dim100,0.9988,3.6
word2vec_lemmatized_cbow_win4_dim100,0.9992,3.8
word2vec_lemmatized_skipgram_win4_dim100,0.9988,3.6
word2vec_lemmatized_cbow_win2_dim300,0.9992,3.6
word2vec_lemmatized_skipgram_win2_dim300,0.9989,3.6
word2vec_lemmatized_cbow_win4_dim300,0.9993,3.8
word2vec_lemmatized_skipgram_win4_dim300,0.999,3.8
word2vec_stemmed_cbow_win2_dim100,0.9995,3.6
word2vec_stemmed_skipgram_win2_dim100,0.999,3.6
word2vec_stemmed_cbow_win4_dim100,0.9993,3.6
word2vec_stemmed_skipgram_win4_dim100,0.9987,3.6
word2vec_stemmed_cbow_win2_dim300,0.9996,3.6
word2vec_stemmed_skipgram_win2_dim300,0.9991,3.6
word2vec_stemmed_cbow_win4_dim300,0.9994,3.6
word2vec_stemmed_skipgram_win4_dim300,0.9989,3.6
